address,holding
0x2Aa7C65C086b70B6963f9506C179752F88Cb3d63,10
0xbB63203FA253B667F1d8D591954F5a14ba5613E2,4
0x70a61D50BC3b6EE22d05eAc7f650b1EF83B477C3,3
0x5564Caa789AD35E72b1612D1Bf78dD295b24605b,3
0x0000006c21964AF0d420af8992851A30fA13c68b,3
0xC5Db73CFaDb087932da65e12E8aFF608112aa66E,2
0x505216f954D09B868115B29F48cEabf5393e3faE,2
0x1A30582Eeb589841c3412a46A7230eE052819732,2
0x09c49b66c5814467670eAaE1d60c9b3048AfD3f2,2
0xFfE6D9d29480D0673C4FC46da22D21E245C8E731,1
0xFfC1c04acc1A3511f19F2be463d0277421c28d98,1
0xfF6f0a4ACcEB65C69313706EA01Bb726c4926F08,1
0xFe5097dd34Fe609Ea4Ef5729A77c8Da20DBB913e,1
0xFd770fa6212926783c6f2d54346D43936b413Ce1,1
0xfD74e17108ca45b149Be7abbBAfC7ddA83fB3a60,1
0xFd47587C6BD9fC5805053bAa296846Ec1845958a,1
0xf9e1D1e9F22c96752356AdFd377231528c7E851E,1
0xf85d965e9Fd4607B000110253214f49231f0031a,1
0xf7b5C20dCBe579096aD9DcB13eb3fa4C9627B432,1
0xF7979Edf3139e557022c827aB08530a6838259B5,1
0xF7280f5b6Ee18C30841a29110F6fe5366FE9c501,1
0xF706e7B8c53182F4CdE74b4d6C165345Acb2B03d,1
0xf68b7b4e1aB494bCC9F914e65F10cCB295E2a6F1,1
0xf61467b750F98B40884E23dc051bb297dbC772b5,1
0xF5c4CE97cde264f046a8f0ECe6De0AA013F6cf3d,1
0xf5652F712867EaD6c824E6b242796d7d5ccaE405,1
0xf55ce491aeBA83bE94d0E4A046c5d13E9a31D14B,1
0xf54FE1bFEA45AA2F7055118ee4dc04e23fB01A54,1
0xF447B405fC7b41DDfeF3CF66EC790EaBd6b26A47,1
0xf3De96Dd26847d877960736E426E2d852B6765f4,1
0xF3a9d16D4ac392Ffe02C36A89B6dc71541fA85a9,1
0xf35f6B151F726C12Db80A6D39969A27Fa44140c8,1
0xf114CEe3a3beB8700c78dD602137C1552B2EBE56,1
0xefC5FF84594ebF147dCEAeB5c41079672CF0d85C,1
0xEfbC53e0AFdc9f649Bc1Ab692461df57E70A560f,1
0xeFA54f09c318984c21DA1a942775d1fD7AD889a9,1
0xeF301cFA99e2Ee4662e4f86AC962a80dCA3CDb9E,1
0xee4D078F9E4BBdDe3B951284dBFE7c458Bd8C7BF,1
0xEDbf72f88E72133b10CdDded385D2b0f7b27f588,1
0xEcDA66d8E3038eBc7766c5C70C8A1973F08a3f5c,1
0xec89eB209a7c3B1a77e184253F3676F50129acad,1
0xEC5bddb1D987d6Bc5b400107b305794922e64b29,1
0xebCE789204e339490F3fF1C385B93Ca81F601365,1
0xEab804590011d0650FcB6c4Da1870C6e9ca062D1,1
0xea3549a358cEE7854C111AC888dE7BcCc3D55C2c,1
0xE9c533A09D01E2E0dA446a41346F43AcFbB39012,1
0xE84f05A482C8C872d0327C1E61C95b4F5a2aFB8c,1
0xE7DC0013d6ed26C7DaB0BeC49779A38E8B166663,1
0xE7280b1f9416CA93AaEbcF51212A2D4a8cc8431b,1
0xe53085d26544dAF3BA8f66B2D1B108E285cc51f9,1
0xe421c9d5Da7D6129d62e7F37965B4415D9CDFa4E,1
0xe3b6A486BB7143246f0ab52f1b64Aa9A381C86A7,1
0xE28033a9BD54202d5f2487dd2C8518F48f4f07C2,1
0xE20e4722f01B6E78C1a7D9d1b9De7576e4e2d11a,1
0xe10A76CAc4f3d807F940A3b98f8F87Aefb7a2cD2,1
0xE0BBA9ef3bD7FB5E875Ec21F72ED5E021F68195d,1
0xe05BcDAEe1F9E848f088049A5AA5DaF0B629467d,1
0xdf953d7ca552A6f4b35B8F219fef486C1A893E30,1
0xDf846767d5Ec7324730ce13d1773C99e584AA64F,1
0xdF16e535EE0Ad5874c664a58FDAA05C9e243D6ee,1
0xdD65C5E9d1D4124A4730A9BaD9BA5784F9B1d1EC,1
0xdCE04f7b358d185d53D958B3ff4cBA7092C9632a,1
0xdc9F1f25377e2dA358E7468F3E4479F02F32eEcA,1
0xdC9528e73f770C93ed7895A2928D52eA1D18E1A7,1
0xdc11cA422d5B30726a0E0B88dF060dCDD2524F09,1
0xdA2ec5aD9b89fb663f2a7E5eb3149570E2e59362,1
0xD9A5B8c4428DB19C54611504c021f11204140Db9,1
0xd9A1699e69D0C0F94f4e05578Cc048365Bfd4735,1
0xD91A53803DfFEF52d4f277E55Aa97aD35442a6fF,1
0xd8FF36BD818BcAE0278F0904D527206363795082,1
0xd8c31BfE46800DCE48e0372C77A637b945060310,1
0xD8430211a7FE6086bC336A3fF9bdBD6Af5D2433F,1
0xd7385b0e6db877731913e0568dfC2F5e7B1202f8,1
0xD6d190a79Faecc78cEa923702ee06221731DE0c1,1
0xd5f2DE368439eED5527e88Ea52A7fd44758AEe99,1
0xd57d3f0f31047F2c5e1F1b09F96eFd23C05b1d5b,1
0xD4D80071a6E5FdedA91d140301502B9121aDD675,1
0xd3B0fAd898Db7570e72D701FB07bFc05A946271D,1
0xd3220ae99ACFD50513CdaCD1acfDF6F0aa205715,1
0xd27b3dD64F1d939b65d2447DEeC58cD099d97806,1
0xD21AEb00d9501Ce0EA2FD442BCF3Cd8DdB6de7Be,1
0xD1F65085adB3670B46F2D900974B2421a56490f6,1
0xd1Ee3784a2B2b259f4bCd3080847abbDEA5f4603,1
0xD132021a6AFC6381dF8b1798b35f0CB9ff85aDd5,1
0xd0C7a59e3Ce5a289b553ebF7659F5C3316eCFBB9,1
0xD0c6CcEA1f0a9C7792aE83dD8f70348d2BAf8ae5,1
0xCFe3f9534dc294430a70469f1dDC5553Bd0D93a3,1
0xce6364C714bfDF453f01b0A5E6EBA500392976fF,1
0xCe4f9CA745d12A5706269eFcE7b70D596D2808C0,1
0xCe3647fF6fc5A00Df8B6DBF8DAE69dc86D11d86F,1
0xcdDCe70fD894e38648920Bf45d6B350e543dae6B,1
0xcDCD7cD5aFB093011DC31e990Fc09bbAa7B381D3,1
0xCca157CB3d3E0D784cB1B91221Ec2a5A51Ece570,1
0xCc7842f66fa9a8ab6920854EC3DB9517aAD9BbcE,1
0xcb630c28658d8B4f0509D628D8d947e6F95eA20A,1
0xcb1587a01d12E060c548712a01dE54fF0C7AC0b8,1
0xCAcD4783cB406f7c6A5145E7c10655faeFb55CB5,1
0xca9A3c13994699a4eFC928A030A3e2326d4C5909,1
0xc9F491C230B4e4137C98C32978C1392Eb3169BC6,1
0xc7E8921d5Ed0665Df082D1a4703fE401Aa38024F,1
0xC72CBB5fFDD51A71a19c079E012D51Dc31E07Ea9,1
0xC623c9935913F15Ad579eabd911E358f2653D69a,1
0xc560AA9AD63c78E65b210bD0eD809bb5aa3911f2,1
0xC31CEFe38A606A667B4c076e264abd4552A7B060,1
0xc306904fb96508Dbc19D72CaA58ACC214b922f5b,1
0xc22b9AAc77d506B20a7E7d6885Afc6D26474f1Df,1
0xC1dBddD0f2976af78C46be8Af40191e284E91DF3,1
0xC1981D3c7f0dA77c42BfCa91CDd995E44b8150cA,1
0xC0A2f5096D5Ddb2F05cae5C793aD1493A28d5321,1
0xC07C4A7eF05c4Aec090cFc7f90Ca7baD5eE6C29C,1
0xc05b6d1CfdbC246926b6f2CD19fDB18e450e07d9,1
0xBFa9DCD2ffb681e1AEE3Bd191154e67CB4739Fd5,1
0xBf185C104196BEBb0F154B45Dc4A2B2d4E7F8753,1
0xbecF6C00E5CDd516eB4213E8744dbA559e988B38,1
0xbe1999EB32E74b6371AeDeFDDDEd9bCFc598D132,1
0xBD7E9d48169Dee88F2Ed991f343F41E13a188ec2,1
0xBd2c5E96Bf236B1feE57e71b38A9c69731e21ef7,1
0xbd1Ec94670E3670D12d82D77ca7F8437f0353cE7,1
0xbD0F43868181d1C399FC7405fbc46725b2F7ab17,1
0xBc68e0750a6BDbC43FBd2538A76B0f4331850e93,1
0xBbc4333aE20E1A3460B770a8a229cFE572909F3A,1
0xBB12CDC2d33cd76BAf657368F4DA59bFA28246FD,1
0xBb10345C0e95D2CF5C6DCC8c2420F7B1905158B3,1
0xbaBc30848d1234E3e451bE9383B5EE0ff6A6c076,1
0xbA9b5D1AB7bF256DB2CCDE7d4B70b0AF5961F3C8,1
0xba8765802198e5c19F2BA8fe9b0dA2B225927AAf,1
0xb98813a1469cE6528393b04C1f32aF4E58F92803,1
0xB92a8d700b990ff8CCF5452394474E09E46E62E7,1
0xb8bbe8DFad6bA8F0E2fa28B29733B059F65A9971,1
0xb87F1E64e409EDCC1a08189522c91161De19FaC0,1
0xb82E4d1448CE1B4AB29aCE7C04B5C0427F632b91,1
0xb7985A153FF4C8fc197b859F6f7979B126Aaa315,1
0xB6f5D4EA633bE503801360F4d954f2d3E99261e6,1
0xB66eD94bfdE5081576d365046453b0d325AB26b8,1
0xB5D1C17749985F8Ba6F17dA81CE42FcE59d9f9f7,1
0xb5A3f183d91E628B9B8DF5cF33E944c320E5905a,1
0xb53656B16A86bb819D4391A2d69110eaf9B0531d,1
0xB535ac19Df533873c2c640dF6cD644Cfbf8B5d39,1
0xB51D2de677ae3f617fe4757dbA7B1c76B8E94Bba,1
0xB511a5Ddd0a104cf280b45522543095B1107627e,1
0xB50d2F18Cf40EA6B99216e0627b20BC72167c632,1
0xB4e97E24739BaE193a7eF041f110DDE8e7fef754,1
0xb407F29d00e0B824BCC28bD2dceCc7dF0664532C,1
0xB1Ff388d5952fdc08C803CdEA07f9B5913602F03,1
0xB1dB513aC47E476944F392D8E047E3A0A5a5FF9C,1
0xB1B65c40B33aC2D3eba12261F45D5C4e25856A9f,1
0xb09A0b8C795df0A74383121279bE6aa1f02E57a3,1
0xB018AC399491B9320A456ad0e696D2032b6bADD3,1
0xB0131f9775be0d4eD66cC475B3C515A7e1F5d26a,1
0xAFE2b51592b89095A4cFb18da2B5914b528f4c01,1
0xAfAEbc58C7b7b50fA32dc7033D0c36A67aFC1E8B,1
0xAf72a454d6945532441341E917669462B88c5F08,1
0xaE6779A4e97F4503eA14e4f8bD120529388FE463,1
0xAE1A1CDB13Ec86506831531D9e52456b2c0eb625,1
0xaDfdA5e88D3642219427DC8278029B17a7DF5CE0,1
0xaDa952E496DC301BD60e8e59Ce38B51207fF0A98,1
0xAbF5cBf354B338b6a385E8533037fA93A621d554,1
0xaaB3B31B0eAbD268Fbda416910B230F23a945F2B,1
0xAa5861528f175DC2FcCb4599Cb049623b8752735,1
0xaa23a779E0E09B40efBc4a5D8539517ffb2E6eF3,1
0xaa15026DE2458c691C7C1Daa836d079B93D31859,1
0xa9811f9f6B8bCA7f9F91f850A98310e63FBB7326,1
0xA87d3975656f77c5D06AA89A240AE3D22Db399aD,1
0xa8339E2D9A2F73231e51064d1c35C5b77dd28388,1
0xA7c7Edc67524091B6199DfC533b7fe28111F2009,1
0xa6d06d61efe823F0b273f88c6bF282F7E768f5f7,1
0xA464f0d92583a3453AFfEce21aBD8bf242c0bBdE,1
0xa438b338b468aE1350E0F16a810e562dC9eccE8a,1
0xa3F8F900068339F58a365B9b9c983f09f096e865,1
0xa31E78358C267Cc1041A68fbC7EE7ede04e82ee2,1
0xA2B30bB179C68dd75f8E0AA3247111f079644768,1
0xa297bb9a7Aa2AEc77f62dCD93Ea6db256D8643db,1
0xa267a848eAbc5cD41c8E56bA4b58B10fACdAfF1C,1
0xa1E84210239baD5571171a8fe304A90E7Ffe5189,1
0xA1D5D2d931b532A0503e97f540f65ed256f374e6,1
0xa1b41fD5e7DEb143EEa066150848b6714e92668a,1
0xA0fF771De32b3Fac426e1ff02FAcb0f40EC9C7Ee,1
0xA0efD27acC781549D5b78e89E561AA0903932d56,1
0xa0c7EeBBdAB3a1887C5380f2a4606b8Eb333012E,1
0xA0bEb201FF774e4600622C0316F5E5E4A7433b34,1
0x9C64059AAa988a50C4F940ee6DE9AF029e7603Fd,1
0x9c532267Be26a644512AE127F6b936cA51e92326,1
0x9bD668aed96aAb9eC52a23BE401fDe0B08762BdE,1
0x9Ab4e0cC57b3E0445d5Ff34e808D5E68c5F660E3,1
0x9A7cfde3931388382A1ac381bF766cCC20835f18,1
0x9A608d9F416518b5F11acf3dC5594C90D6998e2c,1
0x99Ff8d953F89ebd7f4FE43E27808cc3bD9de87Cd,1
0x99F5585Dcc32E2238634f11f32D9Be9Bd5e98b49,1
0x994Cf01f34c51426bCB12bD30Ff7079E280E1140,1
0x990255C8adD901b26E177f1Ce8A9ACdeD9Af5cb2,1
0x97E0a1f28c9fff064b2DF8aBbF6a5d4dB374a823,1
0x97df3180b6AC60608CEEc289362E834D530b51aD,1
0x97dF28407B639CF27BF821A71CE77844F99D1953,1
0x9712ab54490dDd5491790465472327db04d0cd96,1
0x96aab2750460085C921de93e5cFcEec515B8a2d3,1
0x96Aa890cE271A5457a8F4Edc637d7592200Bda72,1
0x969f6c634383D9A7353e9641E64FCc921ed54781,1
0x96391F12d98bDE444A7E62326C93dc9eA9BA70d5,1
0x94CF6982e84195030A2f3E7F9BCc12228caBC254,1
0x94b039A914a90256a3686Df1d839b340388D077F,1
0x94a92b242d8c78189e5C7499025534ab5C449c84,1
0x946E746C1C23670f6c57B0868448c37283B0F74F,1
0x93ef7f5C07063Fb0Bbeb198b88AD5Fa84cB10F22,1
0x93e1d5835FFBEF3e0C506C878f811A80347c0C31,1
0x937e1b6fe9080AbcD01A7bBa50e9B516Ec731532,1
0x9346348d8b49368dE7a8C90522216a58fF91CC4a,1
0x92406Eb7Fd336D69fA75763AAADBD1140cC02e72,1
0x91F684d70ced2D9789b1AA89F996b55EaF05eE8a,1
0x91Dd8B49d4D6a1198D62e7042342d1164018f534,1
0x9155Bb1d5b63F924f399995f31F9c73f0a64e227,1
0x90602B9157d1f77947Cc7E79E337EAd8c503F838,1
0x902651B5f65f1017BA167B4883904107Be076162,1
0x8FE7cbeF7F36816c260eE69d34FE5846D86c1934,1
0x8FD7E8b6d238390C107C17124f5B9743bcdEE61B,1
0x8Fc642d66492C830dA43D95da7fE3F027F4F3246,1
0x8FbFB39890510e2785d94fAf14D783163C44B14F,1
0x8F98f993bBCb1E08fC52f8b5b24f9174F0d26766,1
0x8F15571A701525FB4cFB05ecB9Fd0DeE1BbD2d25,1
0x8ca1Cd24Bd7A2386f523C36832D25E468072101a,1
0x8C9a169f0A4E3daA2E8d885F1F170dda11DB771B,1
0x8c378de38DD4dc45D8C9f41cf62eDd38217352C6,1
0x8BE3521dcEf6C4eb4b8fa537a4Bd84Af7a4bA5d4,1
0x8b47Ee37623C844590726C394deF95DACf31820d,1
0x8b458561eCaf5197000b4dfFc5757800934f71EF,1
0x88Df4D4240d4F388A88d9edC1DbC7D0154B996Cf,1
0x88C965e574A96D290BFEC4A942A99A1891eD0106,1
0x87001fE0924B20441d3131631Cf0278d35862906,1
0x86d55A7c9E70ba692b9B9b8460f354034f9Ec896,1
0x86c16F44BC75851a9E2E16e28366aDD78169fEA9,1
0x86b98212B8722e8946B6e55A0aB32C9B577626C7,1
0x866F98E4d2B0742110cd674214767140477BB342,1
0x862f088F9d0794EF021C03Fc5ebe198308da9b51,1
0x858257cE4CD4fC1448d61036970107865ead6D2F,1
0x8569bd2c1fC82512d6C246Af39225c18acE195B9,1
0x854759239C4B9d1803718F39Ca9b40860d78Cb76,1
0x83D8a7dE44Dd4CDe7bDa4110Ef42f74a7ec23b81,1
0x839084719E2E507BAdAA2725e5b6036a71D38d78,1
0x831cDf75Aa6f4C5bb948AE095edb728dBE66A9aA,1
0x82E31888825A2ec4C8A38b3c597307D8B36D9B8E,1
0x823fD1Be32F482cC70B61c21c4D6a7CB92C4E168,1
0x821221842fD8c25f124165DF51a684A1C433f36E,1
0x81F10d99464d604EA1E9242DC71733a506E95b4e,1
0x81e60E3e0EbB7d642F76Ca7805aA41e608304119,1
0x81cF8aed4CD8eAD1a80cFf195f0162BE5b43BcC5,1
0x81C1B857CC9Dea20216065a83E04F43BE7F262cB,1
0x81B57E2F0413D93abB147f09753E48142457A00a,1
0x80dd39eb6B3bbbBfcCF5717b0A9708bc2809288b,1
0x80bB916913Ab907b40dB9ec9891aF7a8fedeBD60,1
0x80BaA1dDc18E9CF7D5979CAb59AB4fd4f9D1c664,1
0x8068BD398396B060d820745FDE9C545a38bb776d,1
0x7fA1dA4C8Bd01566f3A6a8519378721e4F512719,1
0x7f4AcA24A93B89859660B104e08Ab3943569577a,1
0x7F04819C4a956436dbd0a10A8F980bc4E0b5138e,1
