Ranking,Address,Holdings,ZERROS1E1,ZERROS1E2,ZERROS1E3,ZERROS1E4,ZERROS1E5,ZERROS1E6,ZERROS1E7,ZERROS1E8,ZERROS1E9,ZERROS2E1,ZERROS2E2
55,0x4Aa61e2bf117996319eC90DC91F33B7299AB004f,5,0,0,1,1,0,0,1,0,0,1,1
56,0x9905A919bc98cf8f384F2B31EA3AD1b73e4969D2,5,0,0,0,1,1,1,0,0,0,1,1
57,0xEc1D90e7A7bf98f11e77D7Dc276AaC7102d7919e,5,0,0,0,1,1,1,0,0,0,1,1
58,0x5dCe4B40BCE0e3BfD9615003255D37b74bc24aaF,5,0,0,1,1,1,0,0,0,0,1,1
59,0xb3508ED0962fbFED89c2c18111311661eC67330f,5,0,0,1,0,0,0,1,0,1,1,1
60,0x47B31167740A3Df07B6d51B90F8CC0a9EFCB5642,5,0,0,0,1,1,1,0,0,1,0,1
61,0x563978F3a0A0fF66dD6a3aBCBc86e0270aFd18A4,5,0,0,0,0,0,1,1,0,1,1,1
62,0xCfA64A8cB9DD3B48F32e220091389090Af6B37C9,5,0,0,1,1,1,0,0,0,0,1,1
63,0x2fF61817Df011F87D0d83A834b6e0b52509fB20A,4,0,0,0,0,0,0,1,1,1,0,1
64,0xF473De0Df183cb762dd4817489D9357b0beB15fC,4,0,0,0,0,1,0,1,1,0,0,1
65,0x53bBc39559bC31078b179BdE59091A5495BF906e,4,0,0,1,0,0,0,1,1,0,0,1
66,0x3100EaeBD387ccd01161D40CFf0c70190DeAA735,4,0,0,1,0,1,0,0,0,0,1,1
67,0x9e98CF8724c57F05e16A9eE632E997dbFb2cd017,4,0,0,1,1,0,0,0,0,0,1,1
68,0x01851d51932c9Ee38EB791611AC12234aDf72Ba6,4,0,0,1,1,0,0,0,0,0,1,1
69,0xb8bbe8DFad6bA8F0E2fa28B29733B059F65A9971,4,0,0,1,1,1,0,0,0,0,0,1
70,0xFeeE79B218C005615b92f92D9b587F928541c7B1,4,0,0,0,0,1,1,0,0,0,1,1
71,0x828AE2080d961CfFF81e418089f1D01C08E6713F,4,0,0,0,0,0,1,0,1,0,1,1
72,0xB3a29E6bEe26663772e4d9d38b453a5ADd44433E,4,0,0,0,0,0,1,1,0,0,1,1
73,0xaa23a779E0E09B40efBc4a5D8539517ffb2E6eF3,4,0,0,0,0,0,1,0,1,1,0,1
74,0xdC06D8EaA3dC6C68a447849EDF0897E469386E67,4,0,0,0,0,0,1,1,0,1,0,1
75,0xD132021a6AFC6381dF8b1798b35f0CB9ff85aDd5,4,0,1,1,0,0,0,1,0,0,0,1
76,0xF8E72bb79B49BE05d2564c37d59040A7aC318983,4,0,0,1,0,0,0,1,0,0,1,1
77,0xb5e3c55c5d43E476fDA81f1202Fe55AE0b32dF3c,4,0,0,0,0,0,0,0,1,1,1,1
78,0x6cf0585bC2482CefC2Ef142E7A3D2AF6916370b4,3,0,0,0,0,1,0,0,0,0,1,1
79,0x3298aD531e6997D11A307de9dF5A208399708A59,3,0,0,0,0,0,1,0,0,0,1,1
80,0x351793eBe67956035889EA68b4CD3d64c58c52f7,3,0,0,0,0,0,0,1,0,0,1,1
81,0x4351b28c70FD7Ca621e0FA9A977ec58Ee89d2e81,3,0,0,0,0,0,0,1,0,0,1,1
82,0x78C00b4071022fcdEe732E4d5f72c02254c763D5,3,0,0,0,0,1,0,0,0,1,0,1
83,0x8C0FCbF9C406bc8173848dc36e1E6746B20a5256,3,0,0,0,0,0,0,0,0,1,1,1
84,0x783756A5eF088720D2a3296cdd5336659B2D0E67,3,0,0,0,0,0,0,1,0,0,1,1
85,0x132d50f1B98B9372e799a3F40a8Dac4215A28327,3,0,0,0,0,0,0,0,0,0,1,2
86,0x321700A6493F8865d7F5a541C7007C1Ff07D9370,3,0,0,0,0,0,0,0,0,0,1,2
87,0xa1E84210239baD5571171a8fe304A90E7Ffe5189,3,0,0,0,0,0,0,1,1,0,0,1
88,0x1aAC1E666A233239F66dfd6eCFAEF69D21dc95b3,3,0,0,0,0,0,1,0,1,0,0,1
89,0x9C64059AAa988a50C4F940ee6DE9AF029e7603Fd,3,0,0,0,0,0,0,0,1,0,1,1
90,0x1634B81565F5BCED47858519d7C47Fbfdb1ce743,3,0,0,0,0,0,0,0,1,1,0,1
91,0x5A27d268e830655E908a0a2C3B24F572695AF5e8,3,0,0,0,0,0,1,1,0,0,0,1
92,0xBc68e0750a6BDbC43FBd2538A76B0f4331850e93,3,0,0,0,0,0,0,1,0,0,1,1
93,0xA36480Aa30B54347E49c905d08979675f9074CcB,3,0,0,1,0,0,0,1,0,0,0,1
94,0x0000006c21964AF0d420af8992851A30fA13c68b,3,0,0,0,0,0,0,0,0,0,0,3
95,0x8AedA35240133B2b3a523396E8d0BA192571e49b,3,0,1,0,0,0,0,0,0,0,1,1
96,0x70a61D50BC3b6EE22d05eAc7f650b1EF83B477C3,3,0,0,0,0,0,0,0,0,0,0,3
97,0x91Dd8B49d4D6a1198D62e7042342d1164018f534,3,0,0,1,0,0,0,0,0,0,1,1
98,0x31545723006c0e2865e14BC31f53c6B33eB5Abe2,3,0,0,1,0,0,0,0,0,0,1,1
99,0x6eA1694604958A86dBf3d415671c7D8ffFFBf6B8,3,0,0,0,1,0,0,0,0,0,0,2
100,0x262575b7A7dBeC60d38a72A878c605A978e7cc91,3,0,0,1,0,0,0,0,0,0,1,1
101,0x4565ed8A7D0c039afA8DBaA4d4dD3F9662aCdfad,3,0,0,1,0,0,0,0,0,0,1,1
102,0x4abd7276C53279b3aBFFF2B5D8A47c0AFc84833B,3,0,0,1,1,0,0,0,0,0,0,1
103,0x4C489C8A23A3aD716D0674F334E11232369F8D0c,3,0,0,0,0,1,0,0,0,0,1,1
104,0xA3d4F0Bcf17475410Ae24938F29eAbC0934792d2,3,0,0,0,1,0,0,0,0,0,1,1
105,0x0c7fbf60D4ea0151b02bb7A672e79c48a58bA600,3,0,0,1,0,0,0,0,0,0,1,1
106,0x0fEB932dea33e50fc120E2E328BD6aB83CA3e325,3,0,0,1,0,1,0,0,0,0,1,0
107,0x24A976d6D462217A358FD0ae32FfA3e6e701af68,3,0,0,0,0,0,1,0,0,0,1,1
108,0x648126F8D457DA7C378b897f2042230Bf61ACAD2,3,0,0,1,0,0,0,0,0,0,1,1
109,0x296FE7B32881281Ad299ECC977803b855743eB5e,3,0,0,0,0,0,0,0,0,1,1,1
110,0xF7979Edf3139e557022c827aB08530a6838259B5,3,0,0,0,0,0,0,0,0,1,1,1
111,0xfC64bCa6F17459cFd77Fca8945e20B6867b4B054,3,0,0,0,0,0,0,0,0,0,2,1
112,0xe2e1C3895Da93E5e4ec7d2DC1d4dC809f3C87118,3,0,1,0,1,0,0,0,0,0,1,0
113,0xEA8Fe1B7a4bF7cB733393AC169160F4e696043D9,3,0,1,0,1,0,0,0,0,0,1,0
114,0xdd30CCDAdCc96b8c1BdFf21876e4e0Eefb36C23e,3,0,0,1,0,0,0,0,0,1,0,1
115,0xFa290A48fE91E57a492a17884DA9c61cd0371e21,3,0,0,1,0,0,0,0,0,0,1,1
